role	path	bytes	sha256
status_or_manifest	ACTION-CLEANUP-STATUS.env	234	2553b126f73e3e706d13f574f5454fd077c7dee2ac59f2abdca1d3b9aa5434a5
status_or_manifest	ARCHIVE-DURABILITY-STATUS.env	762	6425602995f0175dc5037ae051865df2da81ad9d403740911ec4936cdd317a7e
status_or_manifest	COLLECTION-STATUS.env	578	5e02e226d21631965a11058fe74b55e5c115246a77dea46b78233ab041908190
status_or_manifest	LOCAL-VALIDATION-STATUS.env	264	cf86cd9a9f68fec573602eef7ab7b97ce9e1234610048985611ed88c31657f91
status_or_manifest	OMITTED-SENSITIVE-ARTIFACTS.tsv	1263	39b21f6e431dee0c3a3ee41140bdf9d265241d4fbb811e6b2113f4d3f44b5fd9
status_or_manifest	PIPELINE-STATUS.env	338	4f793b1f6c0cefb0e1e949e7415e1823f206b8520d5ef2cccf802f6ec713d233
status_or_manifest	PRIVATE-ARCHIVE-MANIFEST.tsv	2165	e682a091248731818316fe9b25229b8ba1059407fc93558b272a2f3aed4874a9
status_or_manifest	PRIVATE-ARCHIVE-STATUS.env	569	64d285148580220d5a23a745da256a5564664ce1839dbccf3eb12aee70d11693
status_or_manifest	PROFILE-RESET-PROVENANCE.env	358	275895ff08ae3a69381bcddaa5ea2a9765ad854841932f95f0892755fc393e7c
documentation	README.md	2274	61a84e9a6be21461a32392c797f8ebe4a3a063f1bbd34cf4267c0706e484eeb6
status_or_manifest	RUN-STATUS.env	631	0b0341c7b99d9576c70403eb4fb0632156f182e334aaf4e1fe0d1effd16e84ee
status_or_manifest	SENSITIVE-MATERIAL-AUDIT.tsv	999	08e66bae4916844f1d672fd0cf34d0b5364d2db0eb83a66de4d31181fc2b967d
status_or_manifest	SOURCE-SESSION-PROVENANCE.env	439	a416407867f3d73c7d238cb9a1d57873a2fc6d309b90ba4599c589f5966dc4da
derived	derived/c2/c2-attempts.tsv	9783	d651d828af5d96fdb70f1cbde64d6818b717e701d70fe4db5f08734d2d8cf0e3
derived	derived/c2/c2-phase-breakdown.tsv	1415	2bc90fba7c04e4f3447381b2bffac6628740b2226aff15d49456ff7366b64cc2
derived	derived/c2/c2-summary.tsv	1539	92d51d4d2b57d8ca1bf78faf115d0afa51a3270c022c2e705c89fc688501b9ac
derived	derived/c2/c2-validation.json	1968	8ffa7865326fa44043076f9bb947fc223879c8e653aff1cf63f4efb89478ef46
diagnostic_qa	figures/c2-diagnostic/c2_diagnostic_manifest.tsv	940	f323ce1456cff3e394ce9d70e717d69fca0d78cf09cd48688929c2a7c9ffd27e
diagnostic_qa	figures/c2-diagnostic/c2_diagnostic_statistics.csv	543	ed3c887cf3d12f2088aaaefe0982dbabf5d26062a7a31372ca0668a5fdb2e512
diagnostic_qa	figures/c2-diagnostic/c2_diagnostic_statistics.png	123081	541332ef810a20bcaf58531f0e95426546bbce9227b8ba7bc9fa56dbde4d0974
diagnostic_qa	figures/c2-diagnostic/c2_diagnostic_statistics.svg	65551	06f9bc5fddc6d0d39e03be5ab9ca2cb2b107f730064ece335e24f757446757fb
diagnostic_qa	figures/c2-diagnostic/c2_diagnostic_timeline.csv	1375	efc28a42320ab65cd4fc9814b541b7b49f9963ee2b610caee78ff9418ef40a58
diagnostic_qa	figures/c2-diagnostic/c2_diagnostic_timeline.png	122926	00fe869e31004a34eb78d3121fd9f9a4459873b172765b239816ab3fb7c9dc87
diagnostic_qa	figures/c2-diagnostic/c2_diagnostic_timeline.svg	68399	8fd2dc970ab4fe4b8c99f0ac43f703c89526be4eda7366cb37e62e901121eadf
bounded_evidence	filtered/activation-ids.txt	429	4dcbe6ee829e8af97e949e51aea49681c19f6cefe01889b6a3b90e82ab2a3c5d
bounded_evidence	filtered/controller-openwhisk.log	11518	6c718afa928e3edcca0a1df23cde18b7bd7e475983f5f388741f071d5c41b09b
bounded_evidence	filtered/filter-index.tsv	1636	f5acd8e4558efce25f803d31e1f12613b3f1f4c4680efc546ed0ab435521a4fd
bounded_evidence	filtered/gateway-correlation-hashes.txt	845	00a8e977ce8c564cd8ddf18748eabdbc53f3138f49a79c2002a1125d3f488c22
bounded_evidence	filtered/gateway-reencrypt.log	7321	c19b618e3598e3d597a211c177a840b71b735b8e2a193b532cbf1e710eb5ffff
bounded_evidence	filtered/invoker0-172_18_89_215-openwhisk-store-lifecycle.log	73573	d0253052205d42103070211f06d253b0f3c7cb65156f51ba05e022504f6fcc33
bounded_evidence	filtered/invoker1-172_18_89_216-openwhisk-store-lifecycle.log	54519	9c3445f5ddbc1b705e3f417f76e6f3de1634ba85d2507e5218998fca843675ce
bounded_evidence	filtered/invoker2-172_18_89_217-openwhisk-store-lifecycle.log	334730	ac1e740de25747f694b0caeb7eae8c8e513347f930b242e273148945caa74376
bounded_evidence	filtered/scheduler-rg.log	32633	fb11ad34dddc32d3ca2e33dd65912c38f6285520b80808344723f6013f9dcbde
bounded_evidence	filtered/worker-activation-and-code-patterns.txt	494	6102c0bb61baac523c4d08de1f838887c58bb8c38dd440eda68b1ce2e6f01bc4
provenance	notes/FIGURE-QA.md	569	d1b004c775e9ee4eb3463be277327f9927263f441dfcb9abdf4f1754af9e7d8f
provenance	notes/FORMAL-LAUNCH.env	367	fcf8fa52d28349a8a8f5dd6f11c3740ce50dcba01ddb68894822375daf4fa25e
provenance	notes/JIT-ROOT-GUARD.env	1095	4523a375179804aaf61670e7b868236a57d850553d705de99ae087818df495a0
provenance	notes/PRE-REQUEST-SHA256SUMS	1939	aeda570d100d60ee7defa07f796a6276dde9e5c4a85d4a61eb5bfa8f5337052a
provenance	notes/PRE-REQUEST-SHA256SUMS.check	885	105ccf8bcb07b7074467a2d2900188cf4f0766a17e82dc1876651f42efd813d1
provenance	notes/RECOVERY-NOTES.md	719	b5fa4354b50bf257bb086a27c3a36a631cfa5d341fdfb4b32c6481dcb30456ab
provenance	notes/ROUND380-JIT-READY.json	22443	abb694598fb4c4e3eab90aa18a7194ba301e705b32d920ffa91e45ea563d1bb5
provenance	notes/STATIC-GATES.env	147	4628f3822dc76357d731944b4117f16fd58d936957dfe68e9ed53f5d34d9cb1e
provenance	notes/action-after-cleanup.env	49	1f32c291e5c4fb245b18994a01d4784f0f4cd30c375a1721e5c61d97ed700d20
provenance	notes/action-after-cleanup.json	92	1cf5fd1d33362ded73f9109ad0e61425e0090b95a6614e5dc181654c374f3a84
provenance	notes/action-before-cleanup.env	49	e40233582716833cca99d35ddf0e8972cc86f148dafc8d14697f51a66b61fbb4
provenance	notes/action-before-cleanup.json	604	6d36704fde679fa6a5c503a7fb75766334be1971cd308b11e835573b62d1b25d
