role	path	bytes	sha256
status_or_manifest	ACTION-CLEANUP-STATUS.env	234	97123f2cba6f013b46be1de62a5ab31f632f5d60ac7d253c4de6de1ff36e03ef
status_or_manifest	ARCHIVE-DURABILITY-STATUS.env	762	9cdaa988f0585def63bff5a54692952414da659de4ceb585362eca436ca977ab
status_or_manifest	COLLECTION-STATUS.env	578	5925ab3dfe9811a4cdacf9e63654dc7cdd6f93757efaa89fc44d65137db4d8ed
status_or_manifest	LOCAL-VALIDATION-STATUS.env	264	b594b456bcee7012cf999c19428a2c4423f3600ed306dfecd1aa277bd86ff9fb
status_or_manifest	OMITTED-SENSITIVE-ARTIFACTS.tsv	1263	39b21f6e431dee0c3a3ee41140bdf9d265241d4fbb811e6b2113f4d3f44b5fd9
status_or_manifest	PIPELINE-STATUS.env	338	19c2a093d1b64e7d00a864d352acea86ae3bb7b09ede4ca2f147de7f186b81b2
private_archive_metadata	PRIVATE-ARCHIVE-MANIFEST.tsv	2165	a7e060f7a2560af59adfb3a032118966fc4f88419e670c080449a9deaab42185
private_archive_metadata	PRIVATE-ARCHIVE-STATUS.env	569	cfc87b647de5e6edec6b9e1fb996e04e5992095b92d20210a0bd288593632d60
status_or_manifest	PROFILE-RESET-PROVENANCE.env	358	275895ff08ae3a69381bcddaa5ea2a9765ad854841932f95f0892755fc393e7c
status_or_manifest	README.md	2046	c3fb5bf899ff870fe243662ff77fe9c812a5e3a4a5a3359a5aeae473b1b36bcf
status_or_manifest	RUN-STATUS.env	631	0b5f725aac7cc7eff29548b8cf150597c00be00e4f7bb31e4d2d5a5243c03707
status_or_manifest	SENSITIVE-MATERIAL-AUDIT.tsv	999	08e66bae4916844f1d672fd0cf34d0b5364d2db0eb83a66de4d31181fc2b967d
status_or_manifest	SOURCE-SESSION-PROVENANCE.env	419	21c7e5228beb151e41d176c8b0da592d3b2e624f339f873978ce5d94542687fc
materialized_diagnostic	derived/c2/c2-attempts.tsv	9787	c2c8f1c58d81f5a923669a0e14c0b93108cf3d4fdb09850bc7dcf8fdb48cae26
materialized_diagnostic	derived/c2/c2-phase-breakdown.tsv	1416	0549c8c7c312c7b038d01dd953999611dc63ebe07c4f46d68bd41ae1030836d6
materialized_diagnostic	derived/c2/c2-summary.tsv	1539	92844b4b070d0512e793189a942dd91bb3649de15982ab4d45b964777d63535f
materialized_diagnostic	derived/c2/c2-validation.json	1968	7385e266b4da0e5450f720ddbf442baa4ff2986c7dd05b165b66342dfa6582e3
diagnostic_figure	figures/c2-diagnostic/c2_diagnostic_manifest.tsv	940	e723189060efcdb0f284571371fcfd589875ad024f754d80aad2ec78763fddbe
diagnostic_figure	figures/c2-diagnostic/c2_diagnostic_statistics.csv	543	8fc4b7d5709e08cb027a6969ed3bd1fa6fbe0b9b8dbcd0c997d8f6e2f11f1a2a
diagnostic_figure	figures/c2-diagnostic/c2_diagnostic_statistics.png	122979	0949236125fa83c04987245d23eb296bce4529472b3e8f252f11899603a529a6
diagnostic_figure	figures/c2-diagnostic/c2_diagnostic_statistics.svg	65543	c13692d92341810d8492e023674fa0882e2b035f25d4b68a7217af43b60cd371
diagnostic_figure	figures/c2-diagnostic/c2_diagnostic_timeline.csv	1377	026d8bd78feadca1608d7890145ec733eb19bff75364447bbed15ca8997e960e
diagnostic_figure	figures/c2-diagnostic/c2_diagnostic_timeline.png	117002	2f58be1a6649abc12e0a93f03ee8f0191c6be5a624003273b4d6d06ef1eee54e
diagnostic_figure	figures/c2-diagnostic/c2_diagnostic_timeline.svg	67291	2f24b2c52baf0f3862640243c46e164352d2c97f95e343b950bb467f095145fa
filtered_evidence	filtered/activation-ids.txt	429	98759446e827585098a562c8e72f4a97e08948b52906557b8321605fa90f93ba
filtered_evidence	filtered/controller-openwhisk.log	11518	52fe7fbffdadab428d62c891b089b5da64bec444fc1a635bafa35d1eb0fc3fb8
filtered_evidence	filtered/filter-index.tsv	1636	4a060174e9448c269ed4facf5b09574d62e9e9c496252a56ed69acb337913a18
filtered_evidence	filtered/gateway-correlation-hashes.txt	845	f4d43d8fe87194d394ccb3cb72c824d8a3f54ef0e7ad01cb0446a521b8b3678c
filtered_evidence	filtered/gateway-reencrypt.log	7320	ae1011bad7e563366df51576ea154185e95a1cd812aa849e2886a2900ce227a6
filtered_evidence	filtered/invoker0-172_18_89_215-openwhisk-store-lifecycle.log	57424	1353fc48157297c760ea4e31f91164fd25d1a9a26a2d233ef70bdd327821e872
filtered_evidence	filtered/invoker1-172_18_89_216-openwhisk-store-lifecycle.log	51303	10ea2c431a2143389c80c58e0e1b488f3ef92ac8f167f330055812e9fa03c3b1
filtered_evidence	filtered/invoker2-172_18_89_217-openwhisk-store-lifecycle.log	300491	593dc538a54250285c757865ee166988e3ab036dded0baeeeb641a5f1e40f336
filtered_evidence	filtered/scheduler-rg.log	32633	7a7e2f30ddb21d41a506f4645efbfddd604935732a3c36c0b58bc1b91d8797c5
filtered_evidence	filtered/worker-activation-and-code-patterns.txt	494	48310bae09f99a987480d4bc7371e99698c1f72a2cdbe0a58b8fb561131a287f
execution_provenance	notes/FIGURE-QA.md	569	d1b004c775e9ee4eb3463be277327f9927263f441dfcb9abdf4f1754af9e7d8f
execution_provenance	notes/FORMAL-LAUNCH.env	367	c927f9eca19286da378e8ea0394c9469bcf41d5997aba716df6f06b24c178ae6
execution_provenance	notes/JIT-ROOT-GUARD.env	1095	44aecebd962ee607312ec9ef6ba5dc9d85945e140207e0ba19f8e1198d8372b9
execution_provenance	notes/PIPELINE-PROCESS.env	278	403ff4dfba3138cfeda3cfb0359d2519c927c91dbce7ad6b2e9c1843d4f1a53d
execution_provenance	notes/PRE-REQUEST-SHA256SUMS	1939	f53d827e781e7b637bc83f40bfefb604e28d486030c27812e197a64f0a9c8ac9
execution_provenance	notes/PRE-REQUEST-SHA256SUMS.check	885	105ccf8bcb07b7074467a2d2900188cf4f0766a17e82dc1876651f42efd813d1
execution_provenance	notes/RECOVERY-NOTES.md	1124	7a2f95ca7fdc725901851b7834487c1de8e28787deb3ce7bde1f5c891f75debc
execution_provenance	notes/ROUND379-JIT-READY.json	22486	1a537990430efe3a323330bfb58c919ff75b6ed77062c9de219a135aeb64cfae
execution_provenance	notes/STATIC-GATES.env	147	4628f3822dc76357d731944b4117f16fd58d936957dfe68e9ed53f5d34d9cb1e
execution_provenance	notes/action-after-cleanup.env	49	35d20b4108a1341968e176434baf159e8e67aee4a1bf9006712a76f14d43b13c
execution_provenance	notes/action-after-cleanup.json	92	9e97b6c4fc1a554ec631529dd56a6e4f673b3c639fbdda0c48beca758008e215
execution_provenance	notes/action-before-cleanup.env	49	2229f5346c47bb103a5bc06863e0fa079305354b16bef81a24176975dc7e9182
execution_provenance	notes/action-before-cleanup.json	604	2b04c007c654f377c376759d9f0d9cf0163fc9498b3859698f9f8bad825b51ff
execution_provenance	notes/action-cleanup.exit	2	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
execution_provenance	notes/action-cleanup.log	49	af77e6ea6c66ded7fb289b4098b04b57cdefaaff18214fde4a42bb698a383dbd
execution_provenance	notes/bounded-recovery-attempt1.env	322	e1650568537775417130c67a1488ac7f538f3c5810b1ed3577289d4c1a71643d
execution_provenance	notes/bounded-recovery-attempt2.env	325	7adf7f4f2a1a341d827ae0c1331d053bbb960fc437dc21d70a3fda96c695b609
