role	path	bytes	sha256
status_or_manifest	ACTION-CLEANUP-STATUS.env	234	75927fe2c0f88968dcbd99db6bbb24e041a9aa371a5e88474fe37f7098f0b34a
status_or_manifest	ARCHIVE-DURABILITY-STATUS.env	762	db76b7f15fdc191c5ce449b3163345c61f6e720e6fd758a5e0f10b7b1ad314fd
status_or_manifest	COLLECTION-STATUS.env	577	7aa2f309c02f8d262764c76de5334030b617f626c302c7ac83919163247e4a38
status_or_manifest	LOCAL-VALIDATION-STATUS.env	264	70a540bfeecf7db7d459dd19330beecfa96e6f06a05c49843e62d3fed8556676
status_or_manifest	OMITTED-SENSITIVE-ARTIFACTS.tsv	1263	39b21f6e431dee0c3a3ee41140bdf9d265241d4fbb811e6b2113f4d3f44b5fd9
status_or_manifest	PIPELINE-STATUS.env	337	2d6b9e29192229a6e9170ac71524027eb749abb8c5b71dcd8f27128f83cb5225
private_archive_metadata	PRIVATE-ARCHIVE-MANIFEST.tsv	2165	7b52f519e37679dac594a7ac690eebded2cc0c54053a84ee2e558e2550330a39
private_archive_metadata	PRIVATE-ARCHIVE-STATUS.env	569	676e1920d788f18b7c1a4c3835a623f48cbffac787915b07863d44f473194417
status_or_manifest	PROFILE-RESET-PROVENANCE.env	332	0d8fc1a6e839f3699a08d46125215d2de9ab3b7e699fdfee6d97892700429654
status_or_manifest	README.md	2084	2d1c473d6477a665840ce1b32a24484d297e71025f81f722a60094730a32f7ec
status_or_manifest	RUN-STATUS.env	628	9413bedb7349747a6c56c32a7a463ca4ebe7f64f31789b77e85f9cbdf278ab5f
status_or_manifest	SENSITIVE-MATERIAL-AUDIT.tsv	998	d004575518057ccaac59681c1787947d654948ae1da4087a188e1339f259dac1
status_or_manifest	SOURCE-SESSION-PROVENANCE.env	437	be1b82dee00076ef5387c47c3e715ddd9fb8e504b16097687085a20bdef8336a
materialized_diagnostic	derived/c2/c2-attempts.tsv	9749	c9ce5740b03448429497c9e02154a6a2b7049b6274c436fa0396e52fe6ac00a8
materialized_diagnostic	derived/c2/c2-phase-breakdown.tsv	1414	df05c808b780b1e264d3ee81dfc7dd12ad1aaac19069d19c1550ee4e521533be
materialized_diagnostic	derived/c2/c2-summary.tsv	1539	c734023a778b21521801ff25c45ef1aecf42e716a334f972f03ed6151805d07f
